company_name,country,sector,index
"PayPal Holdings","United States","Banking & Finance","S&P 500"
"United Technologies Corporation","United States","Other","S&P 500"
"Pool Corporation","United States","Other","S&P 500"
"Norwegian Cruise Line Holdings Ltd.","United States","Other","S&P 500"
"IHS Markit","United Kingdom","Other","S&P 500"
"Rio Tinto plc","United Kingdom","Other","FTSE 100"
"Feldmühle","Germany","Media & Entertainment","DAX"
"Bayerische Vereinsbank","Germany","Banking & Finance","DAX"
"VEBA","Germany","Energy & Utilities","DAX"
"Preussag","Germany","Other","DAX"
"Nixdorf Computer","Germany","Technology","DAX"
"Deutsche Babcock","Germany","Real Estate & Infrastructure","DAX"
"VIAG","Germany","Other","DAX"
"DivDAX","Germany","Other","DAX"
"Sartorius AG",,"Technology","DAX"